label,j1,j2,j3,j4,j5,j6_max,max_forward_error,max_backward_error,mean_condition_number,recommended_direction
uniform_1,1.0,1.0,1,1.0,1.0,5,0.3611111111111111,0.3333333333333333,1.3833333333333333,both
uniform_2,2.0,2.0,2,2.0,2.0,5,0.5282539682539682,2.7523809523809524,1.7166666666666663,both
mixed_1,1.0,2.0,2,2.0,1.0,5,0.29108058786092467,0.2581988897471611,1.5499999999999998,both
mixed_2,1.0,2.0,3,3.0,2.0,5,0.36822659996822915,0.13093073414159542,1.7166666666666663,both
half_int,0.5,0.5,1,0.5,0.5,3,0.08333333333333333,0.5,1.0833333333333333,both
